epoch,train_loss,train_acc1,val_loss,val_acc1,val_acc5,lr
1,2.3070943746811303,15.40264423076923,2.225711196517944,19.83,64.41,1e-06
2,1.596769402577327,48.9443108974359,1.6711677976608277,50.44,92.53,0.00020080000000000003
3,1.3007568490810884,63.93629807692308,1.2484008157730102,67.37,97.34,0.0004006000000000001
