epoch,train_loss,train_acc1,val_loss,val_acc1,val_acc5,lr
1,2.3391720441671517,10.128205128205128,2.313717350769043,11.800000001525879,53.26,1e-06
2,1.621765048075945,47.30769230769231,1.4279099143981933,58.319999969482424,95.20999992675782,0.001
3,1.2291880638171464,67.00120192307692,1.1751773111343384,69.61999987792969,97.55999992675781,0.0008536998372026805
4,1.0689255705246559,74.58133012820512,1.055679433441162,75.4,98.37999989013672,0.0005005000000000001
5,0.9723599922962678,79.19070512820512,1.0069972045898437,77.45999990234375,98.66999998779296,0.00014730016279731955
epoch,train_loss,train_acc1,val_loss,val_acc1,val_acc5,lr
1,2.3391720441671517,10.128205128205128,2.313717350769043,11.800000001525879,53.26,1e-06
2,1.8104623794555663,37.89463141025641,1.6102684219360353,47.91999996948242,93.57000001220703,0.00020080000000000003
3,1.4645021823736337,55.71915064102564,1.3828852407455445,59.67000001220703,96.0099999633789,0.0004006000000000001
4,1.276329290561187,64.8858173076923,1.2619834016799927,65.06999995117188,97.29000002441406,0.0006004000000000001
5,1.1531810326453966,70.64302884615384,1.1430712251663209,71.05999986572266,97.84000003662109,0.0008002000000000002
6,1.0662088574507298,74.73958333333333,1.070895251083374,73.93999993896485,98.55999998779296,0.001
7,0.9788794386081207,78.63782051282051,1.0230834747314452,76.97999998779297,98.59999993896484,0.0009999351773732016
8,0.9117315026429983,81.92708333333333,0.9389961355209351,80.88000001220703,98.91999993896485,0.0009997407263175233
9,0.8682920333666679,83.83613782051282,0.9219932706832886,81.76999992675782,98.89,0.0009994166973027472
10,0.8352318256329267,85.1943108974359,0.8905946472167968,83.04999995117187,99.13000004882812,0.000998963174430623
11,0.8060119384374373,86.57051282051282,0.8654827081680297,84.30000001220704,99.01999998779297,0.000998380275413038
12,0.7824133937175457,87.68830128205128,0.8824458806991577,82.84999989013671,99.27000004882812,0.0009976681515414655
13,0.7609248460867466,88.50761217948718,0.8576297966003418,84.69000002441406,99.25999989013673,0.0009968269876476975
14,0.7428029934565227,89.28285256410257,0.8162972450256347,86.19999991455079,99.31000004882813,0.0009958570020558702
15,0.7283624756030548,90.16025641025641,0.8497495456695556,84.71999998779297,99.26000004882812,0.0009947584465258002
16,0.7144657058593554,90.66907051282051,0.8292968688964844,85.80999992675781,99.30000004882812,0.0009935316061876374
17,0.7022412984799116,91.22596153846153,0.8043263763427735,87.08,99.35999989013672,0.0009921767994678626
18,0.6908609692866986,91.65865384615384,0.8124847801208496,87.08000004882813,99.32000004882812,0.000990694378006637
19,0.6833045210593786,92.03725961538461,0.8178026951789856,86.5499999267578,99.31000004882813,0.000989084726566536
20,0.6702090651561052,92.56009615384616,0.7995416411399842,87.19999985351562,99.30999989013672,0.0009873482629326829
21,0.6647029516024467,92.68830128205128,0.7987188621520996,87.63999996337891,99.49,0.000985485437804313
22,0.6591943242611029,93.0068108974359,0.7931851665496826,87.76999989013672,99.43000004882812,0.0009834967346777955
23,0.6442925101671464,93.6358173076923,0.7981520999908447,87.48000004882813,99.39000004882813,0.0009813826697211406
24,0.6396335928868024,93.9082532051282,0.7937997997283935,87.65999990234376,99.46999989013672,0.0009791437916400285
25,0.6356647956065643,94.05448717948718,0.774916477394104,88.63999996337891,99.43000004882812,0.0009767806815353939
26,0.6310059257042714,94.19070512820512,0.7803745950698853,88.30000004882812,99.46000004882812,0.0009742939527525992
27,0.6230373410078195,94.63741987179488,0.7660476692199707,88.92999997558594,99.53000004882813,0.0009716842507222428
28,0.6192645497811147,94.82171474358974,0.7803809585571289,88.59999993896484,99.40000004882812,0.0009689522527926358
29,0.6115465537095681,95.14022435897436,0.7613282573699951,88.89999990234375,99.48000004882813,0.0009660986680539973
