epoch,train_loss,train_acc1,val_loss,val_acc1,val_acc5,lr
1,2.317917789557041,12.237580128205128,2.2301633354187014,17.570000012207032,65.01999998779297,1e-06
2,1.9310014443519787,32.54407051282051,1.7374443063735963,42.570000018310544,90.43999989013672,0.00020080000000000003
3,1.6635155372130566,45.65504807692308,1.5506055545806885,50.840000006103516,94.19999991455079,0.0004006000000000001
4,1.523619736157931,52.59615384615385,1.4243011911392212,57.03000000610351,95.63999986572266,0.0006004000000000001
5,1.4442930698394776,56.40625,1.3860775455474854,58.79999992675781,96.02999986572266,0.0008002000000000002
6,1.3704697639514238,60.236378205128204,1.336124385070801,62.269999938964844,96.49999987792968,0.001
7,1.3011961240034837,63.34334935897436,1.2442655296325684,65.7599999633789,97.33000002441406,0.0009999351773732016
8,1.2418291275317852,66.27804487179488,1.2361740486145019,66.98999991455078,97.27999992675781,0.0009997407263175233
9,1.1966062631362524,68.4795673076923,1.2025478073120117,68.2599999633789,97.55999993896485,0.0009994166973027472
10,1.1580903242795895,70.20432692307692,1.1359599571228027,71.17999989013671,97.78999991455078,0.000998963174430623
11,1.126879281264085,71.59054487179488,1.1226750644683838,71.87999986572265,97.73999992675782,0.000998380275413038
12,1.0969770859449337,72.94070512820512,1.0948916372299193,72.88000001220703,98.08000003662109,0.0009976681515414655
13,1.0725115717985692,73.99439102564102,1.1082843860626221,72.47000003662109,97.9399998779297,0.0009968269876476975
14,1.0499864150316287,75.1161858974359,1.075541891479492,74.26999998779297,98.51999993896484,0.0009958570020558702
15,1.026438010044587,76.23397435897436,1.0408823162078857,75.81999987792969,98.4400000366211,0.0009947584465258002
16,1.0081940916868357,77.16746794871794,1.0441226222991944,75.84999998779297,98.33999987792969,0.0009935316061876374
17,0.9928949414155422,77.82451923076923,1.0342095691680908,76.02000004882812,98.57999998779297,0.0009921767994678626
18,0.9757423400878906,78.5516826923077,1.007901704788208,77.31000004882813,98.75999998779297,0.000990694378006637
19,0.958399969797868,79.43309294871794,1.0033691152572632,77.43000006103516,98.80999992675781,0.000989084726566536
20,0.9449683660115951,79.94991987179488,1.0164974473953248,76.74999989013672,98.63000004882812,0.0009873482629326829
21,0.9288053225248288,80.78525641025641,0.9895753135681152,77.91000004882812,98.78999992675782,0.000985485437804313
22,0.9125067707819816,81.54246794871794,0.973467555809021,78.68000001220703,98.81999993896484,0.0009834967346777955
23,0.900656888118157,82.14342948717949,0.9652475751876831,79.04,98.82999993896485,0.0009813826697211406
24,0.8903178334236145,82.19150641025641,0.9560313787460327,79.79999996337891,98.83999993896484,0.0009791437916400285
25,0.8804379325646621,83.00280448717949,0.9518097938537597,79.97000002441406,98.90999993896484,0.0009767806815353939
